Full Name,Email Address,Department,Phone Number,Address
Luis Fernández,luis.fernández50@systech.br,Coordinador,(41) 9770-737,"Rua Dom Pedro II 30, Curitiba/PR"
Miguel López,miguel.lópez51@systech.br,Administração,(41) 9638-986,"Rua Machado de Assis 99, Curitiba/PR"
Juan Díaz,juan.díaz52@systech.br,Administração,(41) 9457-297,"Rua Oscar Niemeyer 6, Curitiba/PR"
Luis Díaz,luis.díaz53@systech.br,Gestor,(41) 9946-337,"Rua Juscelino Kubitschek 45, Curitiba/PR"
Luis Gómez,luis.gómez54@systech.br,CEO,(41) 9962-790,"Rua Zumbi dos Palmares 85, Curitiba/PR"
Carlos Sánchez,carlos.sánchez55@systech.br,TI,(41) 9100-715,"Rua Dom Pedro II 23, Curitiba/PR"
Pedro González,pedro.gonzález56@systech.br,Coordinador,(41) 9944-574,"Rua Dom Pedro II 5, Curitiba/PR"
Laura Rodríguez,laura.rodríguez57@systech.br,Vendas,(41) 9801-337,"Rua Zumbi dos Palmares 69, Curitiba/PR"
Miguel López,miguel.lópez58@systech.br,Administração,(41) 9129-922,"Rua Getúlio Vargas 31, Curitiba/PR"
Lucía Martín,lucía.martín59@systech.br,CEO,(41) 9741-298,"Rua Juscelino Kubitschek 53, Curitiba/PR"
Miguel Martín,miguel.martín60@systech.br,Gerente,(41) 9877-427,"Rua Dom Pedro II 26, Curitiba/PR"
Pedro Rodríguez,pedro.rodríguez61@systech.br,Compras,(41) 9972-819,"Rua Chico Mendes 31, Curitiba/PR"
Ana Martínez,ana.martínez62@systech.br,CEO,(41) 9168-739,"Rua Princesa Isabel 75, Curitiba/PR"
Sofía Rodríguez,sofía.rodríguez63@systech.br,Coordinador,(41) 9414-513,"Rua Juscelino Kubitschek 81, Curitiba/PR"
Laura Fernández,laura.fernández64@systech.br,Gestor,(41) 9997-284,"Rua Machado de Assis 2, Curitiba/PR"
Miguel Gómez,miguel.gómez65@systech.br,Coordinador,(41) 9498-579,"Rua Juscelino Kubitschek 54, Curitiba/PR"
Sofía Sánchez,sofía.sánchez66@systech.br,Gerente,(41) 9442-851,"Rua Machado de Assis 20, Curitiba/PR"
Pedro Pérez,pedro.pérez67@systech.br,Vendas,(41) 9928-502,"Rua Zumbi dos Palmares 33, Curitiba/PR"
Miguel López,miguel.lópez68@systech.br,Administração,(41) 9884-995,"Rua Oscar Niemeyer 89, Curitiba/PR"
Luis Pérez,luis.pérez69@systech.br,CEO,(41) 9728-465,"Rua Princesa Isabel 86, Curitiba/PR"
Pedro Rodríguez,pedro.rodríguez70@systech.br,Coordinador,(41) 9442-852,"Rua Juscelino Kubitschek 31, Curitiba/PR"
Luis Díaz,luis.díaz71@systech.br,Gerente,(41) 9479-159,"Rua Princesa Isabel 48, Curitiba/PR"
Luis López,luis.lópez72@systech.br,Lider,(41) 9454-119,"Rua Zumbi dos Palmares 54, Curitiba/PR"
María Martínez,maría.martínez73@systech.br,Administração,(41) 9447-582,"Rua Zumbi dos Palmares 46, Curitiba/PR"
Ana González,ana.gonzález74@systech.br,TI,(41) 9895-774,"Rua Tiradentes 13, Curitiba/PR"
Miguel López,miguel.lópez75@systech.br,Gerente,(41) 9739-880,"Rua Chico Mendes 42, Curitiba/PR"
Carlos Pérez,carlos.pérez76@systech.br,Administração,(41) 9988-239,"Rua Princesa Isabel 36, Curitiba/PR"
Miguel López,miguel.lópez77@systech.br,Gestor,(41) 9364-381,"Rua Princesa Isabel 45, Curitiba/PR"
Ana Sánchez,ana.sánchez78@systech.br,Gerente,(41) 9242-619,"Rua Princesa Isabel 4, Curitiba/PR"
María Gómez,maría.gómez79@systech.br,TI,(41) 9676-637,"Rua Juscelino Kubitschek 81, Curitiba/PR"
María González,maría.gonzález80@systech.br,TI,(41) 9398-848,"Rua Princesa Isabel 38, Curitiba/PR"
María Fernández,maría.fernández81@systech.br,CEO,(41) 9478-656,"Rua Tiradentes 10, Curitiba/PR"
Ana González,ana.gonzález82@systech.br,Lider,(41) 9989-887,"Rua Juscelino Kubitschek 66, Curitiba/PR"
Lucía Martín,lucía.martín83@systech.br,Vendas,(41) 9247-465,"Rua Zumbi dos Palmares 84, Curitiba/PR"
Ana Fernández,ana.fernández84@systech.br,Gerente,(41) 9697-502,"Rua Chico Mendes 69, Curitiba/PR"
Juan López,juan.lópez85@systech.br,TI,(41) 9299-653,"Rua Princesa Isabel 52, Curitiba/PR"
Pedro Rodríguez,pedro.rodríguez86@systech.br,Compras,(41) 9475-127,"Rua Princesa Isabel 19, Curitiba/PR"
Carlos Díaz,carlos.díaz87@systech.br,Administração,(41) 9731-657,"Rua Zumbi dos Palmares 2, Curitiba/PR"
María Martín,maría.martín88@systech.br,Gerente,(41) 9806-100,"Rua Chico Mendes 96, Curitiba/PR"
Lucía Sánchez,lucía.sánchez89@systech.br,Vendas,(41) 9104-331,"Rua Oscar Niemeyer 33, Curitiba/PR"
Juan Sánchez,juan.sánchez90@systech.br,Gerente,(41) 9315-961,"Rua Machado de Assis 91, Curitiba/PR"
María Díaz,maría.díaz91@systech.br,Coordinador,(41) 9144-425,"Rua Chico Mendes 25, Curitiba/PR"
Miguel López,miguel.lópez92@systech.br,Gestor,(41) 9622-767,"Rua Dom Pedro II 68, Curitiba/PR"
María Fernández,maría.fernández93@systech.br,Gerente,(41) 9715-434,"Rua Tiradentes 53, Curitiba/PR"
Luis López,luis.lópez94@systech.br,Lider,(41) 9884-936,"Rua Juscelino Kubitschek 41, Curitiba/PR"
Laura López,laura.lópez95@systech.br,Lider,(41) 9608-461,"Rua Dom Pedro I 96, Curitiba/PR"
Sofía González,sofía.gonzález96@systech.br,TI,(41) 9242-112,"Rua Dom Pedro II 6, Curitiba/PR"
Miguel Martín,miguel.martín97@systech.br,Lider,(41) 9509-234,"Rua Dom Pedro II 75, Curitiba/PR"
Carlos Pérez,carlos.pérez98@systech.br,Lider,(41) 9410-378,"Rua Machado de Assis 84, Curitiba/PR"
Miguel Pérez,miguel.pérez99@systech.br,Lider,(41) 9447-488,"Rua Oscar Niemeyer 54, Curitiba/PR"
María López,maría.lópez100@systech.br,Compras,(41) 9691-536,"Rua Dom Pedro I 93, Curitiba/PR"
Ana Rodríguez,ana.rodríguez101@systech.br,Administração,(41) 9629-997,"Rua Dom Pedro II 23, Curitiba/PR"
Carlos López,carlos.lópez102@systech.br,Lider,(41) 9631-793,"Rua Dom Pedro I 7, Curitiba/PR"
Pedro González,pedro.gonzález103@systech.br,TI,(41) 9358-397,"Rua Dom Pedro II 78, Curitiba/PR"
María Rodríguez,maría.rodríguez104@systech.br,TI,(41) 9910-979,"Rua Juscelino Kubitschek 14, Curitiba/PR"
Sofía Martín,sofía.martín105@systech.br,Lider,(41) 9136-315,"Rua Dom Pedro II 40, Curitiba/PR"
Lucía Gómez,lucía.gómez106@systech.br,Gestor,(41) 9634-646,"Rua Zumbi dos Palmares 53, Curitiba/PR"
Juan Martín,juan.martín107@systech.br,Administração,(41) 9636-257,"Rua Dom Pedro II 12, Curitiba/PR"
Laura Martín,laura.martín108@systech.br,Coordinador,(41) 9488-277,"Rua Chico Mendes 56, Curitiba/PR"
Luis Gómez,luis.gómez109@systech.br,Lider,(41) 9923-444,"Rua Juscelino Kubitschek 75, Curitiba/PR"
Sofía Rodríguez,sofía.rodríguez110@systech.br,CEO,(41) 9931-672,"Rua Tiradentes 43, Curitiba/PR"
María Díaz,maría.díaz111@systech.br,Gerente,(41) 9610-992,"Rua Tiradentes 86, Curitiba/PR"
Pedro Sánchez,pedro.sánchez112@systech.br,Vendas,(41) 9917-231,"Rua Dom Pedro II 100, Curitiba/PR"
Lucía Rodríguez,lucía.rodríguez113@systech.br,CEO,(41) 9615-757,"Rua Machado de Assis 58, Curitiba/PR"
Lucía López,lucía.lópez114@systech.br,Gestor,(41) 9913-620,"Rua Dom Pedro I 7, Curitiba/PR"
Pedro Gómez,pedro.gómez115@systech.br,Administração,(41) 9636-114,"Rua Juscelino Kubitschek 88, Curitiba/PR"
Sofía Fernández,sofía.fernández116@systech.br,Vendas,(41) 9917-892,"Rua Dom Pedro II 85, Curitiba/PR"
Carlos González,carlos.gonzález117@systech.br,Gestor,(41) 9885-585,"Rua Juscelino Kubitschek 51, Curitiba/PR"
Carlos González,carlos.gonzález118@systech.br,Compras,(41) 9304-444,"Rua Machado de Assis 56, Curitiba/PR"
Ana Díaz,ana.díaz119@systech.br,TI,(41) 9383-490,"Rua Tiradentes 82, Curitiba/PR"
Ana Díaz,ana.díaz120@systech.br,Administração,(41) 9568-575,"Rua Zumbi dos Palmares 48, Curitiba/PR"
Juan Díaz,juan.díaz121@systech.br,Compras,(41) 9531-711,"Rua Chico Mendes 42, Curitiba/PR"
Juan López,juan.lópez122@systech.br,Gerente,(41) 9729-539,"Rua Machado de Assis 82, Curitiba/PR"
Juan López,juan.lópez123@systech.br,Lider,(41) 9787-255,"Rua Machado de Assis 30, Curitiba/PR"
Juan Sánchez,juan.sánchez124@systech.br,Coordinador,(41) 9630-516,"Rua Dom Pedro I 60, Curitiba/PR"
Ana Rodríguez,ana.rodríguez125@systech.br,Compras,(41) 9335-631,"Rua Dom Pedro II 4, Curitiba/PR"
Ana Rodríguez,ana.rodríguez126@systech.br,Compras,(41) 9925-503,"Rua Tiradentes 49, Curitiba/PR"
Carlos González,carlos.gonzález127@systech.br,Administração,(41) 9341-113,"Rua Juscelino Kubitschek 83, Curitiba/PR"
Ana López,ana.lópez128@systech.br,Administração,(41) 9547-889,"Rua Princesa Isabel 39, Curitiba/PR"
Juan Fernández,juan.fernández129@systech.br,Gerente,(41) 9497-256,"Rua Chico Mendes 95, Curitiba/PR"
María Díaz,maría.díaz130@systech.br,Compras,(41) 9840-781,"Rua Machado de Assis 43, Curitiba/PR"
Miguel López,miguel.lópez131@systech.br,Gestor,(41) 9182-855,"Rua Princesa Isabel 8, Curitiba/PR"
María López,maría.lópez132@systech.br,Gestor,(41) 9477-305,"Rua Dom Pedro I 60, Curitiba/PR"
Laura López,laura.lópez133@systech.br,CEO,(41) 9471-970,"Rua Oscar Niemeyer 3, Curitiba/PR"
Sofía López,sofía.lópez134@systech.br,Administração,(41) 9448-765,"Rua Getúlio Vargas 3, Curitiba/PR"
Juan Díaz,juan.díaz135@systech.br,Lider,(41) 9621-497,"Rua Machado de Assis 49, Curitiba/PR"
Lucía Martínez,lucía.martínez136@systech.br,Gerente,(41) 9309-563,"Rua Machado de Assis 46, Curitiba/PR"
Juan Díaz,juan.díaz137@systech.br,Gestor,(41) 9803-608,"Rua Oscar Niemeyer 71, Curitiba/PR"
Pedro López,pedro.lópez138@systech.br,Compras,(41) 9646-394,"Rua Zumbi dos Palmares 89, Curitiba/PR"
Luis González,luis.gonzález139@systech.br,Lider,(41) 9168-553,"Rua Machado de Assis 30, Curitiba/PR"
Lucía Fernández,lucía.fernández140@systech.br,TI,(41) 9335-373,"Rua Getúlio Vargas 92, Curitiba/PR"
Pedro López,pedro.lópez141@systech.br,Gerente,(41) 9620-340,"Rua Dom Pedro II 68, Curitiba/PR"
María Martínez,maría.martínez142@systech.br,Gestor,(41) 9940-271,"Rua Zumbi dos Palmares 87, Curitiba/PR"
Laura Sánchez,laura.sánchez143@systech.br,Gestor,(41) 9121-437,"Rua Getúlio Vargas 50, Curitiba/PR"
Juan González,juan.gonzález144@systech.br,Compras,(41) 9317-845,"Rua Dom Pedro I 25, Curitiba/PR"
Sofía Martín,sofía.martín145@systech.br,Administração,(41) 9340-377,"Rua Tiradentes 17, Curitiba/PR"
Laura Rodríguez,laura.rodríguez146@systech.br,Gestor,(41) 9944-674,"Rua Tiradentes 4, Curitiba/PR"
Juan Pérez,juan.pérez147@systech.br,Compras,(41) 9124-837,"Rua Oscar Niemeyer 58, Curitiba/PR"
Juan Rodríguez,juan.rodríguez148@systech.br,Compras,(41) 9254-245,"Rua Machado de Assis 72, Curitiba/PR"
María Rodríguez,maría.rodríguez149@systech.br,TI,(41) 9258-239,"Rua Oscar Niemeyer 13, Curitiba/PR"
Sofía Gómez,sofía.gómez150@systech.br,Gestor,(41) 9754-507,"Rua Tiradentes 41, Curitiba/PR"
Sofía Sánchez,sofía.sánchez151@systech.br,Administração,(41) 9659-571,"Rua Machado de Assis 78, Curitiba/PR"
Miguel Gómez,miguel.gómez152@systech.br,CEO,(41) 9710-638,"Rua Getúlio Vargas 53, Curitiba/PR"
Ana Díaz,ana.díaz153@systech.br,Lider,(41) 9595-864,"Rua Dom Pedro II 99, Curitiba/PR"
María Pérez,maría.pérez154@systech.br,TI,(41) 9536-109,"Rua Princesa Isabel 3, Curitiba/PR"
Miguel Rodríguez,miguel.rodríguez155@systech.br,CEO,(41) 9771-308,"Rua Getúlio Vargas 59, Curitiba/PR"
Luis Martín,luis.martín156@systech.br,Gerente,(41) 9865-667,"Rua Dom Pedro II 54, Curitiba/PR"
Juan López,juan.lópez157@systech.br,TI,(41) 9525-202,"Rua Chico Mendes 95, Curitiba/PR"
Ana Martín,ana.martín158@systech.br,Gestor,(41) 9402-596,"Rua Dom Pedro II 57, Curitiba/PR"
Laura Gómez,laura.gómez159@systech.br,Administração,(41) 9858-141,"Rua Dom Pedro I 16, Curitiba/PR"
Luis Fernández,luis.fernández160@systech.br,Compras,(41) 9357-878,"Rua Princesa Isabel 53, Curitiba/PR"
Luis Pérez,luis.pérez161@systech.br,Compras,(41) 9306-458,"Rua Machado de Assis 3, Curitiba/PR"
Lucía Díaz,lucía.díaz162@systech.br,Coordinador,(41) 9473-317,"Rua Oscar Niemeyer 95, Curitiba/PR"
Luis Pérez,luis.pérez163@systech.br,Lider,(41) 9170-491,"Rua Dom Pedro I 75, Curitiba/PR"
Laura Díaz,laura.díaz164@systech.br,Lider,(41) 9906-626,"Rua Machado de Assis 90, Curitiba/PR"
Pedro López,pedro.lópez165@systech.br,Gerente,(41) 9293-467,"Rua Oscar Niemeyer 33, Curitiba/PR"
Pedro Gómez,pedro.gómez166@systech.br,TI,(41) 9866-634,"Rua Dom Pedro I 62, Curitiba/PR"
Luis Rodríguez,luis.rodríguez167@systech.br,Lider,(41) 9517-568,"Rua Dom Pedro II 88, Curitiba/PR"
Juan González,juan.gonzález168@systech.br,CEO,(41) 9194-754,"Rua Zumbi dos Palmares 24, Curitiba/PR"
Pedro Martín,pedro.martín169@systech.br,Gestor,(41) 9205-431,"Rua Getúlio Vargas 96, Curitiba/PR"
María Sánchez,maría.sánchez170@systech.br,Vendas,(41) 9491-537,"Rua Oscar Niemeyer 89, Curitiba/PR"
Sofía López,sofía.lópez171@systech.br,Gestor,(41) 9124-479,"Rua Machado de Assis 97, Curitiba/PR"
Carlos Martín,carlos.martín172@systech.br,Coordinador,(41) 9971-511,"Rua Machado de Assis 64, Curitiba/PR"
Pedro Fernández,pedro.fernández173@systech.br,Administração,(41) 9956-788,"Rua Chico Mendes 45, Curitiba/PR"
María Fernández,maría.fernández174@systech.br,TI,(41) 9449-729,"Rua Dom Pedro I 23, Curitiba/PR"
María Martín,maría.martín175@systech.br,TI,(41) 9670-765,"Rua Dom Pedro I 82, Curitiba/PR"
María Gómez,maría.gómez176@systech.br,Vendas,(41) 9722-384,"Rua Dom Pedro I 24, Curitiba/PR"
Lucía Martínez,lucía.martínez177@systech.br,Administração,(41) 9516-932,"Rua Chico Mendes 32, Curitiba/PR"
Luis Fernández,luis.fernández178@systech.br,Coordinador,(41) 9864-579,"Rua Zumbi dos Palmares 11, Curitiba/PR"
Miguel Martínez,miguel.martínez179@systech.br,Coordinador,(41) 9473-592,"Rua Getúlio Vargas 67, Curitiba/PR"
Carlos González,carlos.gonzález180@systech.br,TI,(41) 9667-851,"Rua Machado de Assis 68, Curitiba/PR"
Luis Martín,luis.martín181@systech.br,Gestor,(41) 9992-504,"Rua Zumbi dos Palmares 17, Curitiba/PR"
Lucía Martínez,lucía.martínez182@systech.br,Gestor,(41) 9458-870,"Rua Dom Pedro II 34, Curitiba/PR"
Sofía González,sofía.gonzález183@systech.br,Administração,(41) 9810-501,"Rua Princesa Isabel 75, Curitiba/PR"
Carlos López,carlos.lópez184@systech.br,CEO,(41) 9234-382,"Rua Zumbi dos Palmares 54, Curitiba/PR"
Pedro González,pedro.gonzález185@systech.br,Gerente,(41) 9925-188,"Rua Tiradentes 50, Curitiba/PR"
Laura López,laura.lópez186@systech.br,Gestor,(41) 9812-791,"Rua Oscar Niemeyer 75, Curitiba/PR"
María Martínez,maría.martínez187@systech.br,Compras,(41) 9264-205,"Rua Dom Pedro I 74, Curitiba/PR"
Carlos López,carlos.lópez188@systech.br,Lider,(41) 9767-747,"Rua Chico Mendes 67, Curitiba/PR"
Juan Martín,juan.martín189@systech.br,Gestor,(41) 9290-684,"Rua Juscelino Kubitschek 69, Curitiba/PR"
Ana López,ana.lópez190@systech.br,Coordinador,(41) 9692-317,"Rua Dom Pedro II 94, Curitiba/PR"
María Fernández,maría.fernández191@systech.br,Compras,(41) 9129-488,"Rua Dom Pedro II 94, Curitiba/PR"
Miguel Fernández,miguel.fernández192@systech.br,Compras,(41) 9792-922,"Rua Chico Mendes 71, Curitiba/PR"
María Rodríguez,maría.rodríguez193@systech.br,Vendas,(41) 9675-823,"Rua Dom Pedro II 58, Curitiba/PR"
Pedro Fernández,pedro.fernández194@systech.br,Compras,(41) 9103-422,"Rua Tiradentes 72, Curitiba/PR"
Pedro Sánchez,pedro.sánchez195@systech.br,Gestor,(41) 9636-664,"Rua Dom Pedro II 18, Curitiba/PR"
Ana Fernández,ana.fernández196@systech.br,Gerente,(41) 9810-533,"Rua Tiradentes 21, Curitiba/PR"
María López,maría.lópez197@systech.br,Vendas,(41) 9700-709,"Rua Getúlio Vargas 7, Curitiba/PR"
Carlos Rodríguez,carlos.rodríguez198@systech.br,Compras,(41) 9943-943,"Rua Dom Pedro II 95, Curitiba/PR"
Laura Pérez,laura.pérez199@systech.br,CEO,(41) 9593-783,"Rua Dom Pedro I 95, Curitiba/PR"
Juan Martín,juan.martín200@systech.br,Vendas,(41) 9493-899,"Rua Getúlio Vargas 75, Curitiba/PR"
Luis Rodríguez,luis.rodríguez201@systech.br,Gestor,(41) 9828-469,"Rua Juscelino Kubitschek 33, Curitiba/PR"
Sofía Fernández,sofía.fernández202@systech.br,CEO,(41) 9619-832,"Rua Tiradentes 70, Curitiba/PR"
Ana López,ana.lópez203@systech.br,TI,(41) 9437-915,"Rua Dom Pedro II 58, Curitiba/PR"
Miguel Sánchez,miguel.sánchez204@systech.br,Gestor,(41) 9378-833,"Rua Oscar Niemeyer 52, Curitiba/PR"
Lucía Gómez,lucía.gómez205@systech.br,Gestor,(41) 9777-794,"Rua Dom Pedro I 69, Curitiba/PR"
Miguel López,miguel.lópez206@systech.br,Vendas,(41) 9874-633,"Rua Juscelino Kubitschek 72, Curitiba/PR"
Ana Martínez,ana.martínez207@systech.br,Administração,(41) 9437-126,"Rua Dom Pedro II 80, Curitiba/PR"
Lucía Pérez,lucía.pérez208@systech.br,Vendas,(41) 9155-114,"Rua Dom Pedro II 72, Curitiba/PR"
Luis Martínez,luis.martínez209@systech.br,Administração,(41) 9453-186,"Rua Getúlio Vargas 54, Curitiba/PR"
Miguel Pérez,miguel.pérez210@systech.br,Vendas,(41) 9361-962,"Rua Zumbi dos Palmares 5, Curitiba/PR"
Pedro Sánchez,pedro.sánchez211@systech.br,Vendas,(41) 9386-309,"Rua Tiradentes 60, Curitiba/PR"
Pedro González,pedro.gonzález212@systech.br,Gestor,(41) 9474-890,"Rua Machado de Assis 2, Curitiba/PR"
Juan Gómez,juan.gómez213@systech.br,Lider,(41) 9361-658,"Rua Getúlio Vargas 49, Curitiba/PR"
Luis Fernández,luis.fernández214@systech.br,Vendas,(41) 9344-451,"Rua Dom Pedro I 76, Curitiba/PR"
Pedro Martín,pedro.martín215@systech.br,Gestor,(41) 9409-736,"Rua Tiradentes 9, Curitiba/PR"
Pedro López,pedro.lópez216@systech.br,Administração,(41) 9955-818,"Rua Machado de Assis 21, Curitiba/PR"
Miguel Rodríguez,miguel.rodríguez217@systech.br,Gestor,(41) 9199-746,"Rua Getúlio Vargas 33, Curitiba/PR"
Luis Gómez,luis.gómez218@systech.br,Lider,(41) 9105-287,"Rua Machado de Assis 10, Curitiba/PR"
Laura González,laura.gonzález219@systech.br,Administração,(41) 9687-263,"Rua Chico Mendes 21, Curitiba/PR"
Ana Martínez,ana.martínez220@systech.br,Gerente,(41) 9595-436,"Rua Chico Mendes 62, Curitiba/PR"
Juan González,juan.gonzález221@systech.br,Lider,(41) 9415-839,"Rua Oscar Niemeyer 48, Curitiba/PR"
Sofía Martín,sofía.martín222@systech.br,CEO,(41) 9107-567,"Rua Chico Mendes 60, Curitiba/PR"
Luis González,luis.gonzález223@systech.br,TI,(41) 9362-179,"Rua Juscelino Kubitschek 10, Curitiba/PR"
Ana Díaz,ana.díaz224@systech.br,Lider,(41) 9551-583,"Rua Chico Mendes 12, Curitiba/PR"
María González,maría.gonzález225@systech.br,Lider,(41) 9192-470,"Rua Dom Pedro I 9, Curitiba/PR"
María Martínez,maría.martínez226@systech.br,Coordinador,(41) 9773-734,"Rua Chico Mendes 98, Curitiba/PR"
Luis Gómez,luis.gómez227@systech.br,Administração,(41) 9270-240,"Rua Machado de Assis 60, Curitiba/PR"
Juan López,juan.lópez228@systech.br,Compras,(41) 9944-653,"Rua Dom Pedro I 38, Curitiba/PR"
Laura Díaz,laura.díaz229@systech.br,Administração,(41) 9299-316,"Rua Oscar Niemeyer 39, Curitiba/PR"
Carlos Díaz,carlos.díaz230@systech.br,Administração,(41) 9828-377,"Rua Juscelino Kubitschek 49, Curitiba/PR"
Ana Díaz,ana.díaz231@systech.br,Gestor,(41) 9161-778,"Rua Dom Pedro II 87, Curitiba/PR"
Laura Martínez,laura.martínez232@systech.br,Administração,(41) 9784-824,"Rua Dom Pedro II 90, Curitiba/PR"
